name,content
南京红山动物园遭遇邻里纠纷,2025年3月17日晚，南京红山动物园因邻里纠纷引发冲突，事件正在调查处理中。
博物馆昆虫被2孩子偷走,2024年10月2日，两名儿童在某博物馆内擅自带走昆虫展品，馆方已介入处理。
印度遭奸杀女医生案内幕曝光,2025年3月26日，印度一起引发社会震动的女医生奸杀案关键内幕被媒体披露，案件细节揭示出系统性治安漏洞。
名媛培训班,2024年9月2日晚，某“名媛培训班”因涉嫌虚假宣传与诱导高额消费被监管部门立案调查。
听泉鉴宝连线太精彩了,9月28日凌晨，《听泉鉴宝》直播连线环节因内容精彩引发广泛关注。
吴宣仪晕倒被工作人员抱下台,2025年3月31日，艺人吴宣仪在演出中突发晕倒，由工作人员紧急抱离舞台。
四人因散布地震谣言等被行拘,9月28日，四人因散布地震谣言被警方依法行政拘留。
四男子当街骚扰女生,9月27日凌晨，四名男子当街骚扰女性被警方依法处置。
因狗结缘成为朋友因狗生病反目,2024年10月2日凌晨，两名因宠物狗结缘的友人因狗突发疾病反目成仇，引发纠纷。
国庆是中国人的浪漫,2024年9月25日晨，民众以“国庆是中国人的浪漫”为主题自发组织庆祝活动，展现爱国情怀。
国庆机票价格跳水,国庆机票价格意外跳水，部分航线现大幅降价。
国足0：7日本,2024年9月5日，世界杯预选赛亚洲区比赛中，中国男足0比7不敌日本队。
外籍男子将日本老人推倒致死,9月29日东京一外籍男子涉嫌将老人推倒致死，警方正展开调查。
多位购房者称房东临时涨价或反悔不卖,9月27日，多地房东被曝临时涨价或单方面毁约，引发购房者集中维权。
多方回应学生坠亡家长怀疑被霸凌,2025年3月11日，针对学生坠亡事件中家长质疑校园霸凌的情况，涉事多方已作出公开回应。
大麻合法后的泰国,泰国政府宣布将大麻重新列为毒品，仅医疗用途合法。
女子一次次给骗子送钱一次次失败,女子多次转账诈骗未果，警方提醒警惕新型骗局。
女子取消预订酒店被扣1000多元,9月28日，一女子因取消酒店预订被扣千元费用，引发消费权益争议。
女子吐槽楼上邻居马桶正对自家厨房,2025年3月26日，一女子公开反映楼上住户马桶正对自家厨房，引发对住宅设计的争议。
女子怀孕30周仅62斤,2025年3月24日，一孕妇怀孕30周体重仅31公斤引关注。
女子戴隐形赏花后视力骤降至0.5.csv,女子赏花佩戴隐形眼镜致视力骤降，医生提醒春季花粉季需注意眼部防护。
女子玩切水果游戏1个月瘦10斤,女子切水果游戏健身月瘦十斤，体感游戏意外成减肥新宠。
女子称一丝不挂被2次刷开酒店房门,10月7日，杭州一女子称入住酒店期间房门两次被陌生人刷开，其中一次她未着衣物，酒店事后仅愿赔偿一晚房费。
女子高速上40码龟速行驶被训,10月4日凌晨，一女子在高速以40码低速行驶被交警批评教育，警方提醒低速行驶同样危险。
女孩遭强奸案民警被控渎职不予立案,2025年3月27日，一民警因在处理女孩被强奸案件中涉嫌渎职不予立案被控。
女生高铁上提醒男子勿脱鞋放脚被打,2025年3月24日高铁冲突事件：女子劝阻男子脱鞋不文明行为反遭暴力袭击。
女童被碾身亡案被告人获刑十个月,2025年2月14日女童被碾身亡案宣判，被告人因过失致人死亡罪获刑十个月。
女高管与下属约会开房被开除,女高管因与下属不当关系被公司解雇。
如何看待北大硕士当食堂阿姨,北大硕士投身食堂服务引发热议，校方称其为学生提供多样化职业体验。
妻子举报丈夫出轨上海一财政局副科长,上海一副科长被妻子实名举报婚内出轨，官方回应已介入核查。
孙颖莎发球多次被闪光灯和喊声干扰,孙颖莎在比赛中多次因观众闪光灯及喊叫干扰发球。
对智能驾驶的宣传不能再含糊其辞了,2025年4月1日起智能驾驶宣传将实施强制性规范，严禁使用模糊或误导性表述。
小24岁女友闹分手大爷怒曝亲密照,六旬大爷因小24岁女友提分手，公开亲密照要挟引发纠纷。
小伙工地干活一年换一部手机,2024年10月4日，一名年轻工人用一年工地收入换购新手机，引发关注。
小区业主大骂外地商贩滚出苏州,9月29日凌晨，苏州一小区业主因纠纷辱骂外地商贩并驱离，引发公众对城市包容性讨论。
小米SU7高速碰撞爆燃事件细节,2025年3月30日上午，一辆小米SU7在高速行驶中发生碰撞后起火燃烧，具体伤亡及事故原因仍在调查中。
山东打母亲男孩,9月17日山东一男孩殴打母亲，警方已介入调查。
山西阴阳面,2024年8月26日傍晚，山西某地（网传“阴阳面”区域）突发强对流天气，局部出现剧烈天气变化，相关部门已介入处置。
已婚男子找王婆说媒妻子或将离婚,已婚男子“王婆说媒”舞台相亲引发舆论哗然，妻子称将起诉离婚。
年轻女租客遭6旬房东骚扰抑郁发作,六旬房东骚扰致年轻女租客抑郁发作，事件引发社会关注。
床垫骗局,2025年3月22日，监管部门联合查处一起以虚假宣传为手段的床垫营销骗局，涉案团伙通过夸大保健功效欺诈消费者被当场取缔。
张庭女儿回应外貌争议,2025年3月28日，张庭女儿公开回应近期外貌争议，呼吁公众停止讨论并尊重个人隐私。
张本美和说孙颖莎是最厉害的,日本乒乓球选手张本美和在2024年9月14日赛后采访中坦言，中国选手孙颖莎是当今女子乒坛“最厉害的”球员。
张继科问黑龙江男队要不要人,2025年3月24日凌晨，前乒乓球世界冠军张继科公开询问黑龙江男队是否有招募意向。
当年轻人开始去学术酒吧,2024年7月23日，学术主题酒吧吸引年轻群体，成为新型社交学习空间。
徐州多人占铁轨拍照逼停火车头,2024年10月4日，徐州多人违规占铁轨拍照，致火车头被逼停。
德云社,【德云社发布声明 回应近期争议事件】
情侣连续两次偷渡妄想去境外淘金,7月5日情侣两度偷渡欲赴境外“淘金”被查获。
感觉住家阿姨还是得常换,【家政观察】雇主反馈引热议：住家阿姨更换频率引关注，专家建议理性评估服务需求。
成也詹姆斯败也詹姆斯,2025年3月28日，詹姆斯关键表现主导赛事胜负，球队最终以戏剧性结果收场。
我以为演员要学历,2025年2月19日晚，某演员在公开场合误称行业存在学历要求，引发舆论关注。
抢车位吵架女子叫嚣是正军级,一名女子因抢车位与人争执时自称“正军级干部”引发网络热议。
抵制美国货在加拿大成潮流,2025年3月28日晨间，加拿大民间掀起抵制美国商品风潮。
新秀王安冉离婚,2025年2月28日，艺人王安冉宣布离婚。
日本第九次核污水排海,日本于2024年9月26日启动第九轮福岛核污染水排海作业。
曝董宇辉下播后险被砸,2025年3月20日，董宇辉直播结束后在后台险遭坠落物击中，现场无人员伤亡。
有网文作者股市已赚300万直接断更,网文作者因股市获利300万暂停小说更新，引发读者热议。
朋友圈已经失去活人感了,2024年10月3日，社交媒体观察显示朋友圈内容呈现"非真人化"趋势，用户活跃度与真实互动显著下降。
李嘉诚要卖43个港口给美国企业,李嘉诚拟于2025年3月27日向美企出售43个港口资产。
李玉刚道歉,2024年10月4日，李玉刚就近期争议事件公开致歉，表示将深刻反思。
杨国福麻辣烫就出现老鼠致歉,2025年3月15日，杨国福麻辣烫因门店出现老鼠问题发布致歉声明。
杨鸣克里斯,2024年9月20日凌晨4时22分，杨鸣克里斯发生突发事件，具体情况正在进一步调查中。
极氪车主高速上自动驾驶时盖被睡觉,2024年10月3日凌晨，一极氪车主在高速路上开启自动驾驶后盖被睡觉，引发安全争议。
林生斌请求依法追究宋祖德刑责,林生斌向司法机关控告宋祖德涉嫌刑事犯罪，要求追究其法律责任。
果农把苹果摆成一排阻路,果农以苹果铺路拦车，抗议收购价过低。
柯冉,2024年9月22日14时46分，柯冉退出zooparty。
柳智敏遭偷拍生气变脸,2024年10月5日，艺人柳智敏在公开场合遭遇偷拍后情绪明显不悦，当场对拍摄行为表示不满。
梵高名作向日葵又遭泼汤,2024年9月27日，梵高名画《向日葵》再度遭抗议者泼洒汤汁破坏。
楼下住户报警30多次逼走楼上3任租客,2025年3月22日，一住户因噪音问题持续报警三十余次，致楼上三年内三批租客被迫搬离。
武磊回应遭球迷辱骂,2024年8月2日，武磊就遭球迷辱骂一事公开回应，呼吁尊重与理性。
殷世航自曝被梦女骚扰,2025年3月2日，网络主播殷世航公开声称遭遇一名女性粉丝长期骚扰并报警处理。
水果骗局,2025年3月23日凌晨，某地查处一起以次充好的水果销售骗局，多名消费者受损。
江西一楼房发生爆炸有人员伤亡,4月27日江西一楼房爆炸致人员伤亡，救援正紧急进行。
江西多名执法人员打人,江西多名执法人员被曝打人 官方回应已介入调查。
海关扣下价值11万元盲盒,海关查获违规进口盲盒 案值11万元
液态大米,2024年10月1日上午，我国科研团队成功研发出"液态大米"新形态食品，标志着粮食深加工技术取得重大突破。
淘宝微信支付,2024年9月4日，淘宝平台正式上线微信支付功能。
港股突变,2024年9月29日凌晨，港股市场突发剧烈波动，引发市场关注。
游客因拍照起冲突在受气瓶前争吵,10月4日，两名游客在瘦西湖景区为争抢拍照位置发生争执，现场工作人员及时介入调解。
湖南文理学院副教授出轨女学生,湖南文理学院一副教授被曝于2025年3月24日涉不正当师生关系，校方回应已介入调查。
爷爷为夺回孙子被人贩踩出眼珠,2025年3月21日凌晨，一老人为解救被拐孙子与人贩搏斗致眼球被踩脱，事件引发社会对拐卖犯罪关注。
爸爸去世女儿被判和4个姑姑平分遗产,2025年3月26日，某法院判决女儿与四位姑姑共同平分父亲遗产，引发法定继承顺序争议。
牢哀山,牢哀山
特朗普称不想跟中国发生任何战争,2025年2月12日，美国前总统特朗普公开表示不愿与中国发生军事冲突。
王宝宝出轨,2025年1月24日，艺人王某某被曝光婚内不当行为引发公众关注。
王烁家暴,2024年10月3日，演员王烁被曝出家暴事件，引发社会关注。
玫瑰 想离婚,2025年3月27日，歌手“玫瑰”于傍晚单方面提出离婚诉求。
用户吐槽小米su7ultra试驾雷军秒道歉,2025年3月1日凌晨，小米SU7 Ultra试驾遭用户吐槽，雷军第一时间公开致歉。
男子偷拍,9月27日傍晚，一男子因涉嫌偷拍被警方依法处理。
男子吃增肌药3个月后性格大变,2025年2月11日，一男子因连续服用增肌药物三个月出现严重性格突变，引发健康警示。
男子嫌小孩推车进电梯慢将车扔出,2024年10月1日凌晨，一男子因不满孩童推车进电梯缓慢，竟将儿童推车强行扔出电梯。
男子携代孕遗腹子争妻子千万遗产,2025年3月20日，一男子携代孕所生遗腹子诉争亡妻千万遗产，引发法律与伦理争议。
男子破产后捅妻子8刀获刑9个月,9月27日，一男子破产后持刀捅伤妻子致8处伤口，被法院判处有期徒刑9个月。
男子虐猫被判入狱40年,美国一男子因连环虐猫被判40年监禁，创下动物虐待案最重刑期纪录。
男子长期被妻子责骂偷住邻居家被抓,2025年3月28日，一男子因长期遭受妻子言语压力，私自躲藏邻居家中居住后被警方发现并带离。
男子高速上开启自动驾驶撞上水马,2024年10月3日，一男子在高速路上开启自动驾驶后车辆失控撞上水马，事故未造成人员伤亡。
男生抽皮条不慎将血管抽爆,9月21日，一男生因抽皮条动作不当导致血管破裂送医，提醒公众注意危险行为风险。
男童被打死案父亲说天天想儿子,男童父亲案发后首度发声：每一天都在想儿子，望严惩凶手。
男童输液后死亡医院承认修改病例,8月24日男童输液死亡事件涉事医院承认篡改病历，引发医疗安全质疑。
石家庄民宿,【石家庄一民宿于9月24日凌晨发生火情 暂无人员伤亡报告】
石破茂因政治资金问题被检举,2024年9月1日凌晨，日本前防卫大臣石破茂因涉嫌政治资金问题遭检举。
神奇海挪塌房,2024年9月10日傍晚，网络红人“神奇海挪”因争议事件引发公众舆论崩塌。
秦霄贤塌房,9月24日，网传相声演员秦霄贤疑似因个人不当行为引发公众争议，相关话题在社交平台引发热议。
结婚当天新娘哥哥趴车头索要彩礼,10月5日，河南某婚礼现场新郎接亲时，新娘哥哥趴车头阻拦车队要求追加彩礼，导致婚礼一度中断。
缅甸强震已致1700人死亡,2025年3月29日缅甸强震致1700人遇难，救援紧急展开。
网友造谣自己强奸未成年被行拘,9月30日，一网民因在网络编造“强奸未成年人”的虚假信息，被警方依法处以行政拘留。
网文作者涉黄刑期减少六年,网文作者涉黄案二审改判 刑期减六年
网红女骑士石膏发生车祸身亡,2024年9月30日晚，网红女骑士“石膏”因车祸不幸离世。
网约车车祸致女子流产平台被判全责,2025年3月24日网约车车祸致乘客流产，法院判决平台承担全部赔偿责任。
美国群聊泄密事件持续发酵,2025年3月25日，美国群聊泄密事件持续引发舆论关注，相关部门正介入调查。
美英对也门多地发动空袭,美英于10月4日对也门多地发动空袭。
老人假扮少女乞讨被识破破口大骂,2025年2月25日凌晨，一老人伪装少女乞讨被揭穿后当街辱骂路人。
老公被隐形家务整崩溃想离家出走,2024年9月20日晨，一男子因长期积压的隐形家务压力情绪崩溃，产生离家出走冲动，引发对家庭责任分配的关注。
考公博主吴桐塌房,2025年3月9日，知名考公辅导博主吴桐因不当行为引发公众质疑，个人声誉严重受损。
脱粉回踩,2025年3月28日晚，某公众人物遭遇粉丝脱粉并引发网络争议事件。
舅舅借外甥女900万不肯还,舅舅借款900万拒还，外甥女诉至法院维权。
色狼拍空姐她拍色狼,2025年3月29日航班上，一名空姐遭偷拍时反拍取证，双方行为均被立案调查。
苹果软件涉黄,2024年9月25日，苹果公司因部分软件涉嫌传播淫秽色情内容引发监管关注。
茶百道发文致歉,2025年3月24日，茶百道就相关事件公开发文致歉。
董力拒绝亲密行为,2025年2月26日，董力公开表明拒绝亲密行为立场。
董宇辉直播翻车,9月30日，董宇辉直播中因言论失当引发争议，被指“翻车”。
蒙牛净利润暴跌98%,2025年3月26日，蒙牛乳业公布财报显示公司净利润同比骤降98%，创历史最大跌幅。
虞书欣甩开刘雨昕的手,2025年3月18日晨间，艺人虞书欣在公开活动中松开刘雨昕的手，引发舆论关注。
被抢婴儿18年后直面人贩子,18年后被拐受害人庭审直面人贩，2025年重逢现场揭伤痛记忆。
詹姆斯绝杀,2025年3月27日，詹姆斯压哨绝杀助球队险胜对手。
赵一博说交不到朋友不是性格问题,2025年3月29日，赵一博公开表示社交障碍与性格无关，呼吁社会关注人际交往支持体系建设。
赵樱子说提迪幂孟扎是被迫,2025年3月9日，演员赵樱子公开声称“提迪幂孟扎”相关言论系被迫行为。
赵露思取关,2025年3月20日凌晨，演员赵露思在社交平台取消关注引发舆论关注。
赵露思生病前和家人几乎不联系,2025年3月27日，赵露思被曝生病前与家人联系甚少。
起底臭蛋蛋糕厂,2025年3月27日，媒体曝光"臭蛋蛋糕厂"涉嫌使用变质原料生产食品，监管部门已介入调查。
超15000台车违法占用应急车道,国庆返程高峰期间，全国高速路段单日查处超1.5万起违法占用应急车道行为。
辛巴疑似怒怼韦雪,2025年1月1日凌晨，主播辛巴在直播中公开斥责韦雪引发热议。
遭教官体罚进ICU的14岁女孩离世,14岁女孩因教官体罚送医抢救无效，于9月27日离世。
邮管局回应云南乡镇快递强收跑腿费,邮管局回应云南乡镇快递违规收费问题，责令立即整改。
酒店前台违规办房卡致女子被侵犯,2025年3月27日，某酒店因前台违规办理房卡致入住女子遭受侵害，暴露安全管理漏洞。
门童海外粉丝怒骂中粉,2025年3月29日，海外某明星粉丝因争议事件与中国粉丝在网络爆发冲突。
陈德容王蓉吵起来了,2025年3月22日上午，演员陈德容与歌手王蓉在公开场合发生争执。
雪莉哥哥发ins,3月9日，雪莉哥哥通过社交媒体Ins发文引发关注。
雷军回应,2025年4月1日晚，雷军就相关事件作出公开回应。
雷军演讲祝福祖国,雷军国庆日凌晨发表演讲，深情祝福祖国繁荣昌盛。
青岛大爷地铁打人,8月7日晚，青岛一老年男子在地铁车厢内殴打他人，事件引发公众关注。
青岛大爷驱赶大学生,8月16日青岛海滩发生冲突，一老年男子驱赶游客引发关注。
韩国15岁以下女团选秀停播,韩国于2025年3月28日宣布全面停播15岁以下女团选秀节目。
韩国冠军被霸凌,韩国短道冠军沈石溪控诉教练长期霸凌，体育界再曝丑闻。
韩国山火复燃,韩国山火于2025年3月23日上午复燃，火势迅速蔓延。
韩安冉离婚,2025年3月19日晚，网红韩安冉宣布离婚。
韩网评IVE国风争议,2024年4月25日，韩国网络就女团IVE涉及中国文化元素引发争议展开讨论。
香飘飘回应奶茶涨价至16元一杯,香飘飘宣布3月27日起奶茶单价调整至16元，回应称系成本上涨所致。
高铁站女童坐行李箱摔下后昏迷,10月3日高铁站一女童从行李箱摔落昏迷，事件引发公共安全关注。
麦琳两个月暴瘦20斤,2025年3月7日，艺人麦琳因短期内暴瘦20斤引发公众对其健康状况的关注。
黄子佼承认持有7名少女非法影片,2025年3月23日，黄子佼承认非法持有7名未成年女性私密影片，引发社会谴责。
黄子韬宣布做卫生巾,2025年3月21日，艺人黄子韬宣布进军卫生巾行业。
黎巴嫩9岁女孩腿被炸断,10月5日黎巴嫩一名9岁女童在冲突中遭炸断左腿，目前生命体征稳定。
